pdf_id`pdf_url`dl_status`scrape_status`num_pages`num_pages_scraped`is_fillable`text
5041`https://www.cityofchicago.org/content/dam/city/depts/dps/JOCReleases/2005JOC/2005_SeptemberJOC/8866_21.pdf`Success`Failed``10`Fillable Check: Failed`
1900`https://www.cityofchicago.org/content/dam/city/depts/dps/BidTabs1999to2004/2000BidTabs/Aug/C075000021.8.2.00.pdf`Success`Success`1`1`Not a fillable PDF.`                     BID TABULATION                               Revised 8-3-00 AT 11:15 AM  Specification Number: C075000021                                                                       Date: August 2, 2000          Project Description: Three (3) One Ton Cab & Chassis Dual Rear Wheel with Modular Rear Body Vehicle  Bid Deposit: $ None                         Addendum __1 __2 __3 __4                        Contract Administrator: M. Sieczka      Name of Bidder  Chicago Truck Center  TOTAL BID  REJECTED  Bids are subject to review for completeness accuracy and compliance with all the terms and conditions provided in the bid specifications. City of Chicago    Richard M. Daley, Mayor  Department of Purchases, Contracts & Supplies David E. Malone Chief Procurement Officer   
6448`https://www.cityofchicago.org/content/dam/city/depts/dps/PreBids/2008PreBids/PreBid61320.pdf`Success`Success`1`1`Not a fillable PDF.`PRE AWARD/PROPOSAL CONFERENCE ATTENDEE REGISTER        PROJECT NAME: IDOT 2007 Traffic Signal Modernization Construction – Various Locations  SPECIFICATION/RFQ NO: __61320               RFQ: 2869____  CONFERENCE DATE/TIME:  Wednesday, March 19, 2008@ 1:00p.m.  CONFERENCE LOCATION   City Hall, 121 N. LaSalle, Rm. 301  LEAD DEPARTMENT:  Transportation    PROCUREMENT CONTACT NAME/NUMBER:   Lynnette Terrell, 312-744-9769       Name   Lynnette Terrell   DPS   Company   John J. Sadler   CDOT   Tom Pullikat    CDOT   James Barry                                Traffic Signal  Company – Illinois                           Address  121 N. LaSalle,  60602  30 N. LaSalle Street,  60602, Suite 400  30 N. LaSalle Street,  60602, Suite 400  4202 Royal Fox Drive,  St. Charles, IL  60103                           Telephone   Facsimile   312/744-9769  312/744-9687   312/744-4685  312/744-7215   312/742-2871  312/744-6438   630/513-8000  630/513-7877                                                     
22837`https://www.cityofchicago.org/dam/city/depts/rev/supp_info/TaxSupportingInformation/March_2006_Info_Bulletin_Boat_Mooring_Tax.pdf`Success`Success`1`1`Not a fillable PDF.`Vol. 9  No. 1                                               CHICAGO DEPARTMENT OF REVENUE  March 2006  INFORMATIONAL BULLETIN  #Chicago Boat Mooring Tax  What is a watercraft?  Watercraft means any boat, vessel, or other craft used or capable of being used as a means of transportation on water.  Who is responsible for payment of the tax?  The individual being charged a mooring or docking fee is responsible for payment of the tax to the marina or docking facility.   Who is responsible for collection of the tax?  Effective January 1st, 2006, all Chicago mooring and docking facilities are responsible for collecting and remitting the tax to the Department.  The tax must be collected at the time the fee is collected.  Is there a commission granted for collecting and remitting the tax?  Yes, the collector is allowed a commission of 1% of the tax collected and timely remitted to the Department.  To be considered timely, the remittance and return must be physically received or received in an envelope postmarked by the Unites States Postal Service on or before the due date.  Per chapter 3-4 of the Municipal Code, late payments incur interest at a rate of 12% per annum simple interest, calculated daily, based on a 365 day calendar year and a late penalty rate of 5% of the tax due.  How often is the Boat Mooring Tax  remitted and when are returns due?  The tax is to be remitted monthly with taxes collected in one month payable by the last day of the subsequent month.  The tax return for periods commencing on July 1st of each year and ending on June 30 of the subsequent year, is filed annually and is due by August 15th of each year.  Questions?  If you have questions or need more information, please write us.  Our address is:  City of Chicago Department of Revenue Tax Policy Division c/o Raul Medina 333 South State Street, Suite 300 Chicago, Illinois 60604-3977 rmedina@cityofchicago.org  TO:  All Chicago Marinas and Docking                                   Facilities  The purpose of this informational bulletin is to discuss certain issues pertaining to the Chicago Boat Mooring Tax, Chicago Municipal Code Chapter 3-16.  General Information  The Boat Mooring tax is imposed on the mooring (docking) of any watercraft in a body of water located within the corporate limits of the City of Chicago for a fee.  The tax became effective on January 1st 1984 but has undergone some recent changes.  What is the current tax rate?  The current Boat Mooring tax rate is 7% of the mooring or docking fee.  This rate became effective on January 1st, 2003.  Prior to this date the tax was 25% of the mooring or docking fee.  What is a mooring or docking fee?  Mooring or Docking fee means the consideration paid for the mooring or docking or the right to the mooring or docking of any watercraft, valued in money, whether received in money or otherwise, determined without any deductions whatsoever, but not including any consideration paid for the mooring or docking of a watercraft in the loading or unloading of goods or materials, or the boarding or unboarding of passengers, in the conduct of an interstate transportation business.  
20187`https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/JobSpecifications/OperationConstruction/4600_Painting_Trades_Series/4630_GENERAL_FOREMAN_OF_PAINTERS.pdf`Success`Failed`4`4`Not a fillable PDF.`
14923`https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/05reports/T_041_RyanGarfieldAR05.pdf`Success`Success`38`10`Not a fillable PDF.`
500`https://www.cityofchicago.org/content/dam/city/depts/zlup/Planning_and_Policy/Publications/Submittal_Compliance_form.pdf`Success`Success`1`1`Not a fillable PDF.`PART II SUBMITTAL COMPLIANCE FORM       Planned Development No. _________; Subarea_________; Lakefront No. _______  __(If Applicable)   Project Name & Address: ___________________________________________________ (please print)  Contact Person(s): ________________________________________________________  (please print)  Phone Number(s)/  Fax/ E-Mail _________________________________________________________      I hereby certify that this submittal for Part II review is complete and includes all required plans and information  necessary for said review. I also certify that this proposal submitted for Part II review and approval is in full  compliance with the applicable Planned Development Ordinance and/or Lakefront Resolution; that this project  complies with all provisions of said Ordinance, which includes meeting the specified limits or parameters as set forth  in  the  Bulk  Regulations  and  Data  Table  of  the  applicable  Planned  Development  Ordinance;  that  this  project  complies with any and all exhibits to the respective Planned Development Ordinance and/or Lakefront Resolution;  and that this project complies with any and all conditions included in the Planned Development Ordinance, and/or  Lakefront Resolution.     ______________________________  Signature   ____________________________  (Print Name)   _______________________  Date                                   I cannot certify that the project submitted for Part II review and approval complies with all provisions, requirements  and  exhibits  of  the  Planned  Development  Ordinance  and/or  Lakefront  Resolution.  I  am  aware  of  the  following  change(s) from the approved Ordinance and/or Resolution:                deviation from the approved Site Plan  deviation from the approved Landscape Plan  deviation from the approved Building Elevations  deviation from the approved Bulk Regulations and Data Table  other:________________________________________________________________________    Please use the following space to explain the change(s) in greater detail, and explain the reason for said change(s):  __________________________________________________________________________________________  ______________________________________________________________________________________________ ______________________________________________________________________________________________ ______________________________________________________________________________________________ ______________________________________________________________________________________________ ______________________________________________________________________________________________ ___________________________________________________________________________ (attach supplemental  sheets if additional space is needed)    Based upon the preceding information, the Department of Housing and Economic Development’s Bureau of Planning  and Zoning will determine what course of action (if any) will be required to address the change(s) described above, and  will notify the Applicant of its findings as soon as they are available.       
13130`https://www.cityofchicago.org/content/dam/city/depts/bacp/PlansofOperation/planofoperation1559northmilwaukee.pdf`Success`Failed`3`3`Not a fillable PDF.`
21463`https://www.cityofchicago.org/content/dam/city/depts/obm/supp_info/Quarterly%20Budget%20Report/2017_Q2_QuarterlyBudgetReport_CityofChicago.pdf`Success`Failed`13`10`Not a fillable PDF.`
690`https://www.cityofchicago.org/content/dam/city/depts/bldgs/general/Building%20Code/CodeMemorandumDoorUndercutMakeupTransfer.pdf`Success`Success`1`1`Not a fillable PDF.`
12`https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/City_Treasurer_Unpaid_Internship_Posting_DRAFT.pdf`Success`Success`2`2`Not a fillable PDF.`         OFFICE  OF  THE CITY T REASURER               KURT SUMMERS          NOTICE OF JOB OPPORTUNITY    VOLUNTEER INTERN – City Treasurer’s Office, Volunteer    Internship - UNPAID TC#0407       DESCRIPTION: The City Treasurer’s office seeks candidates focused on public policy, economics, and/or  finance with an interest in urban issues and strong writing, research, and communication skills. Candidates will assist  staff with the design and implementation of projects outlined in the City Treasurer’s 90-Day Plan Impact Report  while also performing related administrative and research duties as required. Responsibilities may also include  drafting public policy reports, providing economic research and financial analysis, creating presentations, and  assisting with press and social media based on the interests and talents of each candidate.     Candidates should ideally be available to work at least part-time (at least 14 to 21 hours a week) during the school    year or more time (21 to 30 hours) during the summer months.     MINIMUM QUALIFICATIONS: Must be a current college level or graduate/school student in good academic  standing, enrolled in an accredited two or four year-college or university offering a baccalaureate or graduate degree  program or an accredited law school. Must have a minimum cumulative grade point average of 2.0 on a 4.0 grading  scale or a 2.5 on a 5.0 grading scale.     PREFERENCE: Students with a minimum GPA of 3.0 on a 4.0 scale will be given preference. Candidates should  be able to work in a fast-paced environment. All projects assigned are confidential with time-sensitive deadlines.       NOTE: Cover Letter (noting “City Treasurer’s Office Internship”), Official/Unofficial Transcript and Enrollment  Verification from school currently attending, Resume and Writing Sample will be required at the time of application  and MUST be submitted together as a packet. Only applicants who submit all the required documents will be  considered.   NOTE: All projects assigned are confidential with time-sensitive deadlines.        These are temporary positions.   SALARY: This is an UNPAID internship.   CLOSING DATE: Open Until Further Notice.     INSTRUCTION: Interested candidates should send as a packet the following:            Cover Letter (noting “City Treasurer’s Office Volunteer Internship”)        Resume       Official/Unofficial Transcript        Enrollment Verification from school currently attending        Writing Sample to the attention of:   George Helding    Special Assistant to the City Treasurer     City Treasurer’s Office    121 North LaSalle Street    Room 106    Chicago, IL 60602    OR    george.helding@cityofchicago.org      The City of Chicago is an Equal Opportunity Employer.    If you are a person with disability and require a reasonable accommodation in order to participate in the application  process, please contact the City of Chicago, Department of Human Resources at 312 744-4976 (voice) or 312 744- 5035 (TTY). You may be required to provide information to support your reasonable accommodation request.  Students who are Deferred Action Recipients are encouraged to apply for volunteer and internship opportunities.  You must provide your Employment Authorization Document at the time of hire. In addition, if you are selected  for a paid internship, you must also have a social security card. If you do not have a social security card, you can  obtain one by following the instructions on this link: http://www.socialsecurity.gov/pubs/deferred_action.pdf      ALL REFERENCES TO POLITICAL SPONSORSHIP OR RECOMMENDATION MUST BE   OMITTED FROM ANY AND ALL APPLICATION MATERIALS SUBMITTED FOR CITY    EMPLOYMENT    THE CITY OF CHICAGO IS AN EQUAL OPPORTUNITY/AFFIRMATIVE ACTION EMPLOYER    
18959`https://www.cityofchicago.org/content/dam/city/depts/water/supp_info/arcConRpt/2014constructionRpts/March/20140312_George_Ridgeway_Lawndale_30w.pdf`Success`Success`6`6`Not a fillable PDF.`DEPA RTM EN T OF WATER MANAGEM EN T         C ITY  OF CHICAGO                 CUSTOMER NOTICE INFRASTRUCTURE RENEWAL PROGRAM   March 12, 2014    Dear Neighbor,    In coordination with Mayor Rahm Emanuel’s, “Building a New Chicago” program and at  Alderman Reboyras’ (30th Ward) request, I am providing you with information regarding a water  construction project in your neighborhood. This is part of our approach to renewing our city’s  aging infrastructure. I see this as an opportunity to partner with you our customers. As part of  this partnership, I want to be certain you are well informed about the project. You should know  where to call if you have any questions or concerns.     Our crews will soon be installing 2,492 feet of 8-inch water main in W. George Street, from N.  Avers Avenue to N. Ridgeway Avenue, N. Ridgeway Avenue, from W. George Street to W.  Diversey Avenue, and N. Lawndale Avenue, from N. Hamlin Avenue to N. Milwaukee Avenue.  The old pipe dates back to 1902, and needs to be replaced.    We are coordinating with Alderman Reboyras’ office, and he has made clear we are to put great  importance on your convenience and the quality of life in this neighborhood through the whole  term of this project. Good communication is the key.     I have asked my staff to assemble the attached information for you and to monitor the project  closely. We know that construction always involves inconveniences and noise. We will do  everything possible to minimize inconvenience and noise and to conduct ourselves as good and  thoughtful neighbors in the course of our presence on your street.     If you have questions or comments about the project, please feel free to contact Assistant  Commissioner Tom LaPorte at 312-742-1029 at any time, you may leave a message.     I am also asking you to consider the enclosed information about our MeterSave Program and our  Basement Flooding Partnership (BFP).     Sincerely,   Thomas Powers  Commissioner     cc:   Alderman Ariel Reboyras           30th Ward   1 0 0 0   E A S T   O H I O   S T R E E T ,   C H I C A G O ,   I L L I N O I S     6 0 6 1 1         Do you wonder what was happening in 1902? That’s the year the old water main was installed  beneath your street. Among other things:             Animal Crackers were introduced to the American public.    Theodore Roosevelt became the first American President to ride in an automobile.    The first college football bowl game, the Rose Bowl between Michigan and Stanford,   was held in Pasadena, California.     JC Penney opened its first store, in Kemmerer, Wyoming.    The Texas Oil Company, Texaco, was formed.    Denmark became the first country to adopt fingerprinting as a way to identify criminals.    Richard J. Daley was born; he served as Mayor of Chicago from 1955 until his death in   1976.        RICHARD J. DALEY                          GEORGE ST., RIDGEWAY AVE. & LAWNDALE AVE. WATER PROJECT   PROJECT DESCRIPTION     Project:  The Department of Water Management will soon be installing 2,492 feet of 8-inch  water main in W. George Street, from N. Avers Avenue to N. Ridgeway Avenue, N. Ridgeway  Avenue, from W. George Street to W. Diversey Avenue, and N. Lawndale Avenue, from N.  Hamlin Avenue to N. Milwaukee Avenue.    Reason:  The old main consists of a 6-inch pipe and we want to expand capacity. Further, the old  pipe dates back to 1902 and needs to be replaced.     Timing:  We will begin installing the new water main shortly, and expect the work to be  completed in late June 2014. This includes restoration. Dates may change depending on weather  and other factors. If there is any appreciable change, we will notify you.    Traffic: We will allow traffic to flow on W. George Street, N. Ridgeway Avenue, and N.  Lawndale Avenue outside of our working hours.  When we are working in the street, we have to  close it to traffic for reasons of safety. You will always be able to reach your home or business,  even if it means putting a metal plate in place.  Outside of working hours, a lane will be left open  for local traffic only.     Parking: We will post our work area for “No Parking” as needed, during work hours (7am- 4pm). We are agreeable to parking outside of those hours, but will have to insist that cars be  moved by the start of the next workday. We will try to preserve as much parking as we can.   CONTACT NUMBERS   24-HOUR SERVICE AND INFORMATION LINE      3-1-1   ALDERMAN ARIEL REBOYRAS   773-794-3095   ASSISTANT WATER MANAGEMENT COMMISSIONER TOM LAPORTE   312-742-1029                                                  FREQUENTLY ASKED QUESTIONS             What if there is a problem?  There are always surprises in any construction project.  If you  have any concerns or questions, you can ask our foreman in the street.  You can also call  Assistant Commissioner Tom LaPorte directly at 312-742-1029.  His cell is on the voicemail  message, in case it’s off hours.    Can I park when you’re not working? We have no problem with you parking outside of our  working hours.  We have to insist that cars be out of our way at the start of the workday.     Will this ever end?  Yes.  As a matter of fact, the job is slated to conclude in late June 2014.  This includes restoration. We always hesitate to promise specific dates, since we are at the mercy  of other factors like weather and emergencies elsewhere in town.    Will you shut my water off? Yes, maybe a couple of times. When we switch over the services  from the old main to the new main, we interrupt service. We give you 24-hour notice when this  is to happen.  In any construction project, there is also a risk that an old pipe will break.  They  can be fragile. This may necessitate an emergency shutdown.  If we do this, we will let you know  what is happening, even though we may be unable to give prior warning.    Why should I be nice about this?  The crew working in the street will work hard to be good  neighbors, and to respect both your convenience and your quality-of-life.  By working together,  we can complete this important project as friends working for the improvement of our  community.    After your old water main has been replaced and you have been connected to your new water  main, please open all your water faucets and hose taps and flush your water for 3 to 5 minutes.  Sediment and metals can collect in the aerator screen located at the tip of your faucets. These  screens should be removed prior to flushing. This flushing will help maintain optimum water  quality by removing sediment, rust, or any lead particulates that may have come loose from your  property’s water service line as a result of the water main replacement. If you have any questions  or concerns about your water quality, please call us at 312-744-8190.               DOES YOUR BASEMENT FLOOD?     The Department of Water Management would like to work with you and your neighbors to  reduce the risk of basement flooding.  We are promoting a collective response as the only  strategy—homeowners joining together on a neighborhood basis to work with us on  practical steps (public and private) to protect your property and peace of mind.    Want to learn more?  http://www.cityofchicago.org/watermanagement/bfp             DEPA RTM EN T OF WATER MANAGEM EN T            C ITY  OF CHICAGO    What is MeterSave?    MeterSave is a program to encourage Chicago homeowners to voluntarily install meters to  monitor water usage. Meters allow single family and two-flat homeowners to pay for only the  water actually used, encouraging efforts to save water and money while protecting one of our  most precious natural resources.    Water charges in non-metered homes are tied to factors such as building size, lot-size and  number of plumbing fixtures. Metered homes are billed according to actual use. This means that  with minimal effort, participating homeowners could save money on their water bills.      Homeowner Incentives   Non-metered homeowners participating in MeterSave are eligible for the following:    A 7-year guarantee that the home water bill will be no higher than it would have if the meter   had not been installed. Bill will not exceed the assessed rate for that year.     Choice of one of the following (while supplies last):   rain barrel,        water meter monitor (a refrigerator magnet that shows water usage)    outdoor water conservation kit or      And, two of the above incentives if a whole block volunteers!   indoor water conservation kit      Frequently Asked Questions:   How and when do I sign up?   Interested non-metered single family and two-flat homeowners may visit www.metersave.org,  call 311, or call 312-744-4H2O. Please have your 12-digit account number ready.  Space is  limited based on funding availability and the number of volunteers.     What will it cost to participate?  The City of Chicago Department of Water Management will install a water meter complete with  the automatic meter reading (AMR) technology in your home FREE of charge.    AMR technology allows readings to be transmitted via wireless radio technology to Water  Management vehicles as they drive by, eliminating the need for readings to take place inside the  home.  Bills will be issued bi-monthly and reflect only the actual amount of water used.     Do I have to be current on my water bill?  Yes.  Homeowners must be current on payment plan and water bill to participate in this limited  time offer of a 7-year guarantee.    For payment plan information call 312-744-4H20 (4426).      1 0 0 0   E A S T   O H I O   S T R E E T ,   C H I C A G O ,   I L L I N O I S     6 0 6 1 1           When can I have a meter installed?  Online meter installation scheduling is available at www.metersave.org  Otherwise, Water  Management will contact you to schedule a time for meter installation.      Small changes made by Chicagoans can have a tremendous impact on the sustainability of  our water supply, such as:     Turn off the faucet while brushing your teeth or shaving.  This can save over 500 gallons  per month per person.    Install high-efficiency, low-flow toilets.  Toilets alone consume 26% of household water  consumption.  A leaky toilet wastes 200 gallons of water per day.    Install high-efficiency washing machines. This can save energy and water consumption.    Fill the sink with dishwater instead of washing dishes with an open tap.  This saves 25  gallons per wash.    If you own a dishwasher, wait until you have a full load to run it.  Dishwashers typically  use half the energy, one-sixth the water, and less soap than washing dishes in the sink.    Garden with plants that are native to Chicago.  This can reduce outdoor water use by 20- 50%.    Use rain barrels to capture rainwater for watering lawns and gardens.    Use a timer or a rain sensor to monitor lawn irrigation: Sprinkler systems use thousands  of gallons of water per cycle.  Installing a timer or rain sensor will save money and water by  preventing needless watering.         WATER   Our Most Precious Resource   Lake Michigan has lost almost 32 trillion gallons of water--the equivalent of over 45 million  Olympic-sized swimming pools of water-- over the past decade. Our region could face severe  water shortages by 2050 if we fail to take decisive action.     More than half of water consumption in Chicago occurs within homes.   Over 5.4 million people-- 44% of the population of the State of Illinois, depend on the Chicago  Department of Water Management to provide a reliable supply of drinking water from Lake  Michigan.     Volunteer for a meter today to save water and money!           Please go to www.metersave.org     By phone call 3-1-1, or 312-744-4H2O.     Save Water Save Money!            
6351`https://www.cityofchicago.org/content/dam/city/depts/dps/SoleSource/NCRB_2008/01_Jan2008/CDIMarineCompany.pdf`Success`Success`25`10`Not a fillable PDF.`
8650`https://www.cityofchicago.org/content/dam/city/depts/lac/supp_info/2014lacrulings/14LA6.pdf`Success`Failed`13`10`Not a fillable PDF.`
17866`https://www.cityofchicago.org/content/dam/city/depts/fin/supp_info/Benefits/RHBC/ReportToMayor/Appendix_A9.pdf`Success`Success`5`5`Not a fillable PDF.`
1518`https://www.cityofchicago.org/dam/city/depts/fin/supp_info/PayrollOperations/DirectDeposit.pdf`Success`Success`1`1`Fillable PDF.`Print this form and follow instructions below.  Original signature required, no photocopies will be accepted.   (Please Check One)  [  ]  New Participant   [  ]  Change to Existing Direct Deposit   [  ]  Cancel   Direct Deposit Payroll Program   City of Chicago   City Comptroller’s Office   Payroll Division  333 S. State Street   Suite 320   Chicago, IL 60604   312-745-2278   FAX (cancellations only)   312-745-3540   Attach a Voided  Sample Check  here with your   remittance   The City of Chicago announces the Direct Deposit Payroll Program for our  employees.    This program utilizes electronic funds transfer to provide you with a timely,  accurate, and convenient method of depositing your funds.    With Automated Payment, you can eliminate the hassle of mail delays and late  deposits.  Direct Deposit offers you:   •  Assurance of Timely Payments   •  Convenient Payment Method   •  Simple and Easy Sign-up   •   •   •   Employees choosing Direct Deposit Payroll Plan ensure necessary  funds are available for use.  Your deposits are made directly to your account, eliminating time-  consuming mail delays, waiting in line at the bank, and waiting for  funds availability.  Direct Deposit Payroll Plan gives you the reliability and safety  advantages of knowing your funds are deposited, even if you are out of  town.   Instructions: Complete the form below and attach an unsigned and voided check from this account to assist in verifying data.   PLEASE PRINT CLEARLY   I  authorize The City of  Chicago hereafter called  “The City,”  to initiate credits entries to  my checking account indicated below and  the institution named below,  hereinafter  called “Institution,” to deposit to the same such account.   I further authorize “The City” to initiate debits to my account to correct any errors, and “Institution” to initiate any such corrections to my account.  This authority is to remain  in full force and effect until “The City” and “Institution” have received written notification from me of its termination in such time and in such manner as to afford “The City”  and “Institution” a reasonable opportunity to act on it prior to depositing to the account.   Employee Name                                                                               Employee Social Security            -        -             Address    City, State, Zip     Work Phone Number     Home Phone Number     Employee Number     Dept Name    Bank Name     Payroll Number                                                                                        Signature/Date ________________________________________Bank Account # __________________________________________     (up to 17 digits)               Bank Routing #                       Checking ?   Savings?   (9 digits)   (check one)   
11064`https://www.cityofchicago.org/dam/city/depts/ethics/general/AO_PostEmploy/06040A.pdf`Success`Failed`4`4`Not a fillable PDF.`
23991`https://www.cityofchicago.org/content/dam/city/depts/zlup/Administrative_Reviews_and_Approvals/Publications/ZBAsignedresolutions/1983_12DEC_signed_resolutions_OCR.pdf`Success`Failed`61`10`Not a fillable PDF.`
13473`https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/T_094_RiverVillageRDA.pdf`Success`Success`202`10`Not a fillable PDF.`
7010`https://www.cityofchicago.org/content/dam/city/depts/dps/SoleSource/NCRB_2010/01_Jan2010/Manzi.pdf`Success`Success`4`4`Not a fillable PDF.`
16031`https://www.cityofchicago.org/content/dam/city/depts/dcd/tif/11reports/T_158_WeedFremontAR11.pdf`Success`Failed`38`10`Fillable Check: Failed`
27553`http://climatechange.cityofchicago.org/sites/production/files/2016-09/documents/climate-change-in.pdf`Success`Failed`2`2`Not a fillable PDF.`
